cod_dane_mun,Departamento_ocurrencia,Municipio_ocurrencia,total_casos,pct_adolescentes,pct_hospit,pct_psiquia,casos_H1,casos_H2,pct_menores,pct_mujeres,pct_rural,tendencia_H2_H1,poblacion,tasa_x100k,tasa_x100k_norm,pct_adolescentes_norm,tendencia_H2_H1_norm,pct_hospit_norm,pct_psiquia_norm,IPI,nivel_prioridad,ranking_nacional
52001,NARIÑO,PASTO,710,0.20704225352112676,0.7633802816901408,0.0028169014084507044,351,359,0.22535211267605634,0.5943661971830986,0.038028169014084505,0.022792022792022793,470000.0,151.06382978723406,0.6826599061283766,0.20704225352112676,0.5113960113960114,0.7633802816901408,0.0028169014084507044,46.96,Media,22
66001,RISARALDA,PEREIRA,613,0.3034257748776509,0.799347471451876,0.021207177814029365,294,319,0.3164763458401305,0.6884176182707994,0.024469820554649267,0.08503401360544217,490000.0,125.10204081632654,0.5652127612050414,0.3034257748776509,0.5425170068027211,0.799347471451876,0.021207177814029365,46.42,Media,23
05036,ANTIOQUIA,ANGELOPOLIS,4,0.75,0.75,0.0,0,4,0.75,0.75,0.0,1.0,536250.0,0.745920745920746,0.0026447782213143613,0.75,1.0,0.75,0.0,46.34,Media,24
13006,BOLIVAR,ACHI,4,0.75,0.75,0.0,1,3,0.75,1.0,0.25,1.0,620000.0,0.6451612903225806,0.002188957923364362,0.75,1.0,0.75,0.0,46.33,Media,25
88564,SAN ANDRES,PROVIDENCIA,6,0.6666666666666666,0.8333333333333334,0.0,2,4,0.6666666666666666,1.0,0.0,1.0,79000.0,7.59493670886076,0.033628674257255874,0.6666666666666666,1.0,0.8333333333333334,0.0,46.18,Media,26
15842,BOYACA,UMBITA,5,0.6,1.0,0.0,1,4,0.8,0.4,1.0,1.0,142000.0,3.5211267605633805,0.015199383890403246,0.6,1.0,1.0,0.0,45.53,Media,27
15425,BOYACA,MACANAL,2,1.0,1.0,0.0,1,1,1.0,0.5,0.5,0.0,142000.0,1.4084507042253522,0.005641961971488426,1.0,0.5,1.0,0.0,45.2,Media,28
25436,CUNDINAMARCA,MANTA,1,1.0,0.0,0.0,0,1,1.0,1.0,1.0,1.0,232000.0,0.4310344827586207,0.00122028114118588,1.0,1.0,0.0,0.0,45.04,Media,29
70717,SUCRE,SAN PEDRO,14,0.6428571428571429,0.7857142857142857,0.0,3,11,0.6428571428571429,0.7857142857142857,0.21428571428571427,1.0,196000.0,7.142857142857143,0.031583535751400084,0.6428571428571429,1.0,0.7857142857142857,0.0,45.03,Media,30
68209,SANTANDER,CONFINES,1,1.0,0.0,0.0,0,1,1.0,0.0,1.0,1.0,292000.0,0.34246575342465757,0.0008196098160542361,1.0,1.0,0.0,0.0,45.03,Media,30
50686,META,SAN JUANITO,1,1.0,0.0,0.0,0,1,1.0,1.0,0.0,1.0,550000.0,0.1818181818181818,9.286488159727588e-05,1.0,1.0,0.0,0.0,45.0,Media,32
